"Unable to cancel order that has already been paid.","Ei voitu peruuttaa tilausta, joka on jo maksettu."
"Svea Payments returned an error on your payment.","Svea Payments palautti virheen maksun käsittelyssä."
"Something went wrong:","Jotain meni pieleen:"
"Unknown error on Svea Payments module. %1","Tuntematon virhe Svea Payments moduulissa. %1"
"Unknown error on Svea Payments.","Tuntematon virhe tapahtui."
"Gateway returned an empty field %1","Svea Payments maksujärjestelmä palautti tyhjän kentän %1"
"Value returned from Svea does not match: %1","Palautettu arvo ei täsmää: %1"
"Shipping and payment costs returned from Svea do not match. %1","Toimituksen ja maksun kulut eivät täsmää. %1"
"Choose payment method...","Valitse maksutapa…"
"Invoicing Fee","Laskutuslisä"
"Your order is not valid or is already paid.","Tilauksesi ei ole voimassa tai on jo maksettu."
"Payment Method","Maksutapa"
"Place Order","Tee tilaus"
"Part Payment Calculator","Erämaksulaskuri"
"Part payment is not available at this purchase price","Erämaksu ei ole käytettävissä tällä ostoksen hinnalla"
